path,id,breed
Dataset_1/low-resolution/201-n000024-schipperke,n110509.jpg,schipperke
Dataset_1/low-resolution/201-n000024-schipperke,n110471.jpg,schipperke
Dataset_1/low-resolution/201-n000024-schipperke,n110519.jpg,schipperke
Dataset_1/low-resolution/201-n000024-schipperke,n110461.jpg,schipperke
Dataset_1/low-resolution/201-n000024-schipperke,n110544.jpg,schipperke
Dataset_1/low-resolution/201-n000024-schipperke,n110495.jpg,schipperke
Dataset_1/low-resolution/201-n000024-schipperke,n110485.jpg,schipperke
Dataset_1/low-resolution/201-n000024-schipperke,n110363.jpg,schipperke
Dataset_1/low-resolution/201-n000024-schipperke,n110373.jpg,schipperke
Dataset_1/low-resolution/201-n000024-schipperke,n110536.jpg,schipperke
Dataset_1/low-resolution/201-n000024-schipperke,n110526.jpg,schipperke
Dataset_1/low-resolution/201-n000024-schipperke,n110418.jpg,schipperke
Dataset_1/low-resolution/201-n000024-schipperke,n110408.jpg,schipperke
Dataset_1/low-resolution/201-n000024-schipperke,n110502.jpg,schipperke
Dataset_1/low-resolution/201-n000024-schipperke,n110512.jpg,schipperke
Dataset_1/low-resolution/201-n000024-schipperke,n110357.jpg,schipperke
Dataset_1/low-resolution/201-n000024-schipperke,n110347.jpg,schipperke
Dataset_1/low-resolution/201-n000024-schipperke,n110427.jpg,schipperke
Dataset_1/low-resolution/201-n000024-schipperke,n110437.jpg,schipperke
Dataset_1/low-resolution/201-n000024-schipperke,n110445.jpg,schipperke
Dataset_1/low-resolution/201-n000024-schipperke,n110455.jpg,schipperke
Dataset_1/low-resolution/201-n000024-schipperke,n110368.jpg,schipperke
Dataset_1/low-resolution/201-n000024-schipperke,n110378.jpg,schipperke
Dataset_1/low-resolution/201-n000024-schipperke,n110463.jpg,schipperke
Dataset_1/low-resolution/201-n000024-schipperke,n110473.jpg,schipperke
Dataset_1/low-resolution/201-n000024-schipperke,n110395.jpg,schipperke
Dataset_1/low-resolution/201-n000024-schipperke,n110385.jpg,schipperke
Dataset_1/low-resolution/201-n000024-schipperke,n110401.jpg,schipperke
Dataset_1/low-resolution/201-n000024-schipperke,n110411.jpg,schipperke
Dataset_1/low-resolution/201-n000024-schipperke,n110524.jpg,schipperke
Dataset_1/low-resolution/245-n000098-Australian_Shepherd,n129011.jpg,australian_shepherd
Dataset_1/low-resolution/245-n000098-Australian_Shepherd,n129001.jpg,australian_shepherd
Dataset_1/low-resolution/245-n000098-Australian_Shepherd,n129037.jpg,australian_shepherd
Dataset_1/low-resolution/245-n000098-Australian_Shepherd,n129027.jpg,australian_shepherd
Dataset_1/low-resolution/245-n000098-Australian_Shepherd,n128997.jpg,australian_shepherd
Dataset_1/low-resolution/245-n000098-Australian_Shepherd,n128987.jpg,australian_shepherd
Dataset_1/low-resolution/245-n000098-Australian_Shepherd,n129055.jpg,australian_shepherd
Dataset_1/low-resolution/245-n000098-Australian_Shepherd,n129045.jpg,australian_shepherd
Dataset_1/low-resolution/245-n000098-Australian_Shepherd,n128911.jpg,australian_shepherd
Dataset_1/low-resolution/245-n000098-Australian_Shepherd,n128901.jpg,australian_shepherd
Dataset_1/low-resolution/245-n000098-Australian_Shepherd,n128879.jpg,australian_shepherd
Dataset_1/low-resolution/245-n000098-Australian_Shepherd,n129008.jpg,australian_shepherd
Dataset_1/low-resolution/245-n000098-Australian_Shepherd,n129018.jpg,australian_shepherd
Dataset_1/low-resolution/245-n000098-Australian_Shepherd,n129112.jpg,australian_shepherd
